,track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album_id.1,album_name,predicted_genre_id,predicted_genre,predicted_genre_prob,predicted_classical_prob,predicted_electronic_prob,predicted_jazz_prob,predicted_pop_prob,predicted_rap_prob,predicted_reggae_prob
40,1zejeOnykpCoyVSit6Bwp3,hope ur ok,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,6s84u2TUpR3wdUv4NgKA2j,209560,2021-05-21,88,0.44299999999999995,0.298,0,0.30072490298015675,1,0.0644,0.38799999999999996,1e-05,0.10300000000000001,0.172,0.07030056036678556,6s84u2TUpR3wdUv4NgKA2j,SOUR,2,jazz,0.5333333333333333,0.13333333333333333,0.0,0.5333333333333333,0.2,0.13333333333333333,0.0
22,17OkYffr0SdAcpcbwMkDDG,Watermelon Sugar,6KImCVD70vtIoJWnq6nGn3,Harry Styles,5SL9nXZYZZl68bHwaM8uLa,174000,2019-12-06,49,0.5479999999999999,0.816,0,0.8844548583144176,1,0.0465,0.122,0.0,0.335,0.557,0.23239581378305685,5SL9nXZYZZl68bHwaM8uLa,Adore You,3,pop,0.5333333333333333,0.0,0.13333333333333333,0.06666666666666667,0.5333333333333333,0.13333333333333333,0.13333333333333333
37,2tGvwE8GcFKwNdAXMnlbfl,happier,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,6s84u2TUpR3wdUv4NgKA2j,175933,2021-05-21,91,0.395,0.44299999999999995,6,0.4809255326938565,1,0.133,0.765,9.67e-06,0.0839,0.33799999999999997,0.8895889749845834,6s84u2TUpR3wdUv4NgKA2j,SOUR,3,pop,0.5333333333333333,0.13333333333333333,0.0,0.3333333333333333,0.5333333333333333,0.0,0.0
7,6iYMfxznTBlcVOgRHab2W0,"Sunflower, Vol. 6",6KImCVD70vtIoJWnq6nGn3,Harry Styles,7xV2TzoaVc0ycW7fwBwAml,221826,2019-12-13,75,0.5660000000000001,0.846,7,0.6871201581606502,0,0.035,0.0005639999999999999,0.000795,0.121,0.86,0.810011529077406,7xV2TzoaVc0ycW7fwBwAml,Fine Line,5,reggae,0.5333333333333333,0.0,0.0,0.0,0.4,0.06666666666666667,0.5333333333333333
33,4wcBRRpIfesgcyUtis7PEg,"1 step forward, 3 steps back",1McMsnEElThX1knmY4oliG,Olivia Rodrigo,6s84u2TUpR3wdUv4NgKA2j,163586,2021-05-21,90,0.473,0.203,2,0.2680676576114812,1,0.102,0.941,0.0,0.126,0.419,0.889231484212314,6s84u2TUpR3wdUv4NgKA2j,SOUR,2,jazz,0.5333333333333333,0.2,0.06666666666666667,0.5333333333333333,0.13333333333333333,0.06666666666666667,0.0
9,03mMSLEJCPoGJwQhHpN5y0,Treat People With Kindness,6KImCVD70vtIoJWnq6nGn3,Harry Styles,7xV2TzoaVc0ycW7fwBwAml,197346,2019-12-13,71,0.653,0.8690000000000001,5,0.9198945595665227,1,0.0382,0.128,2.2e-05,0.046,0.6970000000000001,0.470368483613517,7xV2TzoaVc0ycW7fwBwAml,Fine Line,3,pop,0.5333333333333333,0.0,0.13333333333333333,0.0,0.5333333333333333,0.0,0.3333333333333333
14,4B1rpPmQXwj78wk6aIGwwU,Two Ghosts,6KImCVD70vtIoJWnq6nGn3,Harry Styles,1FZKIm3JVDCxTchXDo5jOV,229813,2017-05-12,73,0.386,0.40700000000000003,6,0.6731346562202534,0,0.0268,0.23399999999999999,1.86e-06,0.0999,0.456,0.0,1FZKIm3JVDCxTchXDo5jOV,Harry Styles,3,pop,0.5333333333333333,0.06666666666666667,0.06666666666666667,0.2,0.5333333333333333,0.06666666666666667,0.06666666666666667
16,5Lbsc65org0b85kNsPkluY,Only Angel,6KImCVD70vtIoJWnq6nGn3,Harry Styles,1FZKIm3JVDCxTchXDo5jOV,291080,2017-05-12,71,0.5539999999999999,0.8420000000000001,5,0.89148422054624,1,0.0397,0.287,0.0,0.106,0.348,0.3990401372764566,1FZKIm3JVDCxTchXDo5jOV,Harry Styles,3,pop,0.5333333333333333,0.0,0.3333333333333333,0.0,0.5333333333333333,0.06666666666666667,0.06666666666666667
21,1M4qEo4HE3PRaCOM7EXNJq,Adore You,6KImCVD70vtIoJWnq6nGn3,Harry Styles,5SL9nXZYZZl68bHwaM8uLa,207133,2019-12-06,72,0.6759999999999999,0.7709999999999999,8,0.9235556857289302,1,0.0483,0.0237,7.000000000000001e-06,0.102,0.569,0.2650883449070971,5SL9nXZYZZl68bHwaM8uLa,Adore You,5,reggae,0.5333333333333333,0.0,0.0,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.5333333333333333
24,1e9oZCCiX42nJl0AcqriVo,Watermelon Sugar,6KImCVD70vtIoJWnq6nGn3,Harry Styles,659e2eKbsMH0vYCs5qgFmy,174000,2019-11-17,75,0.5479999999999999,0.816,0,0.8844548583144176,1,0.0465,0.122,0.0,0.335,0.557,0.23239581378305685,659e2eKbsMH0vYCs5qgFmy,Watermelon Sugar,3,pop,0.5333333333333333,0.0,0.13333333333333333,0.06666666666666667,0.5333333333333333,0.13333333333333333,0.13333333333333333
